품사,(다중 항목),,,,,,
,,,,,,,
평균 : 상대빈도,열 레이블,,,,,,
행 레이블,감쪽같은그녀,결백,그대를사랑,내머리속에,로망,오문희,총합계
대-Verb,,,0.01%,,,,0.01%
그러니-Adjective,,,0.01%,,,,0.01%
반가워-Adjective,,,0.01%,,,,0.01%
더하면-Adjective,,,0.01%,,,,0.01%
개개구구-Verb,,,0.01%,,,,0.01%
몰-Verb,,,0.01%,,,,0.01%
삐짐-Adjective,,,0.01%,,,,0.01%
몰라요-Verb,,,0.01%,,,,0.01%
개고시-Verb,,,0.01%,,,,0.01%
고맙습니다-Adjective,,,0.01%,,,,0.01%
선안-Verb,,,0.01%,,,,0.01%
되고싶은-Verb,,,0.01%,,,,0.01%
배고파-Adjective,,0.01%,0.01%,0.01%,,0.01%,0.01%
까마-Adjective,,,0.01%,0.01%,,,0.01%
나르-Verb,,0.01%,0.01%,,,,0.01%
달려라-Verb,,0.01%,0.01%,,,,0.01%
쏘야-Verb,,,,0.01%,,,0.01%
어리-Verb,,,,0.01%,,,0.01%
채오-Verb,,,,0.01%,,,0.01%
짱하-Adjective,,,,0.01%,,,0.01%
해요-Verb,,,,0.01%,,,0.01%
예쁘게-Adjective,,,,0.01%,,,0.01%
흥분한-Adjective,,,,0.01%,,,0.01%
잇-Verb,,,,0.01%,,,0.01%
어두워-Adjective,,,,0.01%,,,0.01%
찌우-Verb,,,,0.01%,,,0.01%
줘-Verb,,,,0.01%,,,0.01%
숨쉬는한-Verb,,,,0.01%,,,0.01%
아는-Verb,,,,0.01%,,,0.01%
자마-Verb,,,,0.01%,,,0.01%
헐-Verb,,,,0.01%,,,0.01%
푸하하-Verb,,,,0.01%,,,0.01%
한다-Verb,,,,0.01%,,,0.01%
이끌-Verb,,,,0.01%,,,0.01%
할수있다-Verb,,,,0.01%,,,0.01%
쌀세-Verb,,,,0.01%,,,0.01%
어떨까-Adjective,,,,0.01%,,,0.01%
하구라-Verb,,,,0.01%,,,0.01%
있네-Adjective,,,,0.01%,,,0.01%
잘라-Verb,,,,0.01%,,,0.01%
해야하는-Verb,,,,0.01%,,,0.01%
찾아서-Verb,,,,0.01%,,,0.01%
이셔-Verb,,,,0.01%,,,0.01%
채안-Verb,,,,0.01%,,,0.01%
잃-Verb,,,,0.01%,,,0.01%
하면-Verb,,,,0.01%,,,0.01%
없어-Adjective,,,,0.01%,,,0.01%
하얀이-Adjective,,,,0.01%,,,0.01%
현명한-Adjective,,,,0.01%,,,0.01%
이다은-Verb,,,,0.01%,,,0.01%
인실-Verb,,,,0.01%,,,0.01%
이다하다-Verb,,,,0.01%,,,0.01%
잠자는-Verb,,,,0.01%,,,0.01%
유별난-Adjective,,,,0.01%,,,0.01%
카니안-Verb,,,,0.01%,,,0.01%
구른다-Verb,,,,0.01%,,,0.01%
봤나-Verb,,,,0.01%,,,0.01%
설하주-Verb,,,,0.01%,,,0.01%
내다-Verb,,,,0.01%,,,0.01%
깐다-Verb,,,,0.01%,,,0.01%
믿었기에-Verb,,,,0.01%,,,0.01%
꾸까-Verb,,,,0.01%,,,0.01%
밀노-Verb,,,,0.01%,,,0.01%
미치도록-Adjective,,,,0.01%,,,0.01%
난디-Verb,,,,0.01%,,,0.01%
비기-Verb,,,,0.01%,,,0.01%
굴수-Adjective,,,,0.01%,,,0.01%
뽀야-Adjective,,,,0.01%,,,0.01%
드문-Adjective,,,,0.01%,,,0.01%
굳-Adjective,,,,0.01%,,,0.01%
걸어라-Verb,,,,0.01%,,,0.01%
돌마-Verb,,,,0.01%,,,0.01%
먹구-Verb,,,,0.01%,,,0.01%
가누구-Verb,,,,0.01%,,,0.01%
댄지-Verb,,,,0.01%,,,0.01%
봅-Verb,,,,0.01%,,,0.01%
멀-Adjective,,,,0.01%,,,0.01%
돋을-Verb,,,,0.01%,,,0.01%
반가-Adjective,,,,0.01%,,,0.01%
나는나-Verb,,,,0.01%,,,0.01%
마니-Verb,,,,0.01%,,,0.01%
뺀질-Verb,,,,0.01%,,,0.01%
반짝이-Verb,,,,0.01%,,,0.01%
말랑하게-Adjective,,,,0.01%,,,0.01%
마세-Verb,,,,0.01%,,,0.01%
담고싶다-Verb,,,,0.01%,,,0.01%
되어줄게-Verb,,,,0.01%,,,0.01%
미우-Verb,,,,0.01%,,,0.01%
댄-Verb,,,,0.01%,,,0.01%
눈부셔-Adjective,,,,0.01%,,,0.01%
버리-Verb,,,,0.01%,,,0.01%
미치다-Adjective,,,,0.01%,,,0.01%
그리는-Verb,,,,0.01%,,,0.01%
성공하리-Adjective,,,,0.01%,,,0.01%
보는-Verb,,,,0.01%,,,0.01%
눕다-Verb,,,,0.01%,,,0.01%
끝내자-Verb,,,,0.01%,,,0.01%
만지히-Verb,,,,0.01%,,,0.01%
내려요-Verb,,,,0.01%,,,0.01%
숨니-Verb,,,,0.01%,,,0.01%
작은거인-Adjective,,0.01%,,0.01%,,,0.01%
이니-Verb,,0.01%,,0.01%,,,0.01%
이쁜-Adjective,,0.01%,,0.01%,,,0.01%
탄-Verb,,0.01%,,0.01%,,,0.01%
싸-Verb,,0.01%,,0.01%,,,0.01%
돼-Verb,,0.01%,,0.01%,,,0.01%
까까-Verb,,0.01%,,0.01%,,,0.01%
눈부시-Adjective,,0.01%,,0.01%,,,0.01%
차소-Verb,,0.01%,,,,,0.01%
주세요-Verb,,0.01%,,,,,0.01%
화려한-Adjective,,0.01%,,,,,0.01%
치리-Verb,,0.01%,,,,,0.01%
젖은-Verb,,0.01%,,,,,0.01%
주용-Verb,,0.01%,,,,,0.01%
쏘세지-Verb,,0.01%,,,,,0.01%
칠라-Verb,,0.01%,,,,,0.01%
좋수-Adjective,,0.01%,,,,,0.01%
오아오아-Verb,,0.01%,,,,,0.01%
찌용-Verb,,0.01%,,,,,0.01%
캘러-Verb,,0.01%,,,,,0.01%
해도-Verb,,0.01%,,,,,0.01%
심은-Verb,,0.01%,,,,,0.01%
행복하게-Adjective,,0.01%,,,,,0.01%
안녕히-Adjective,,0.01%,,,,,0.01%
허은-Verb,,0.01%,,,,,0.01%
자라지리지-Verb,,0.01%,,,,,0.01%
없어서는-Adjective,,0.01%,,,,,0.01%
클가나니-Verb,,0.01%,,,,,0.01%
채오니-Verb,,0.01%,,,,,0.01%
클라-Verb,,0.01%,,,,,0.01%
할께-Verb,,0.01%,,,,,0.01%
